Netid, Fid, LB_FF
8, 113, 4.313441762803765
8, 48, 5.411839395636064
8, 218, 8.569192642665435
8, 105, 6.628493228487559
8, 110, 13.712801458339706
8, 51, 17.097932594154468
8, 19, 12.212852357106328
8, 235, 7.255202677106152
8, 181, 3.3458792381795033
8, 21, 2.547694904790748
8, 68, 7.058088814556797
8, 192, 9.570764495535606
8, 43, 12.517116681021017
8, 250, 9.228620895076768
8, 89, 6.9158348280077835
8, 46, 3.8030698382616954
8, 200, 6.696029719314399
8, 154, 12.582175705279772
8, 253, 5.1530869413937435
8, 177, 16.583292791173573
8, 24, 10.824914871920916
8, 167, 9.418476068947687
8, 135, 2.955789554131662
8, 261, 4.922305230427809
8, 56, 10.204479029045078
8, 257, 7.6631839022582
8, 201, 11.446254251622682
8, 275, 9.500449190769869
8, 233, 4.305798440645334
8, 236, 5.630230533409001
8, 138, 7.664410541183252
8, 204, 19.825619137926587
